titulo,subtitulo,primer_parrafo,seccion
La dictadura militar y la censura de la música popular argentina: del rock nacional al Nuevo Cancionero del foklore,Día de la memoria,"Este 24 de marzo se cumplen 46 años del último golpe cívico militar en Argentina. Ese mismo día la Junta Militar —comandada por Jorge Rafael Videla, Emilio Eduardo Massera y Orlando Ramón Agosti— derrocó a la presidenta María Estela Martínez de Perón. Se instauraba la dictadura más sangrienta de la historia argentina, caracterizada por la represión, el ataque contra los derechos humanos y la desaparición forzada de más de 30.000 personas.",Cultura
El desarrollismo en la visión divina,De arte no entiendo nada,"Mientras la vida es preocuparse por cosas que no pasan, el desarrollismo es vivir en la obra hecha y el proyecto soñado. Sucede que en la era de las emociones digitales todo queda igualado y hay que activar un recurso que siempre salva, la fe en lo imposible.",Cultura
Daddy Yankee en Argentina: todo lo que se sabe hasta ahora,La despedida del rey del reggaeton,"Ramón Luis Ayala Rodríguez, más conocido como Daddy Yankee, anunció su retiro de la música a través de un video compartido en su canal de YouTube. El puertorriqueño confirmó que realizará una gira despedida llamada ""La Última Vuelta"", en la que cantará en 14 países, entre los que se encuentra Argentina. ",Cultura
Subastarán la Marilyn de Andy Warhol y esperan recaudar 200 millones de dólares,Podría convertirse en la segunda obra de arte más cara de la historia,Uno de los cuadros emblemáticos del arte del siglo XX saldrá a la venta: el retrato que Andy Warhol hiciera de Marilyn Monroe.,Cultura
Hefesto en la fragua del conurbano caliente,De arte no entiendo nada ,"Escribir en modo onírico es una aparente incoherencia pero, como en el sueño, existen múltiples mensajes. Hoy el entendimiento pasa por estar más atento a las señales de la no realidad para evitar ser prisionero de la actual patología de la información.",Cultura
Murió el actor Arturo Bonín,Tenía 78 años ,El actor Arturo Bonín falleció este martes a los 78 años. Su familia confirmó el fallecimiento a través de un comunicado.,Cultura
El camisón de Gioconda en la batalla de San Lorenzo,De arte no entiendo nada,"En el paraje de la ruta me recomendaron dormir en la ciudad que emociona de la Argentina. Esa que te hace conocer varias historias propias e imaginarias, no solo la más importante en el campo de la gloria. Un muchacho callado que apodan Cogote saca a cuentagotas algunos secretos de la batalla.",Cultura
Las primeras imágenes de Joaquin Phoenix como Napoleón,Para la nueva película de Ridley Scott,"En las últimas horas se filtraron las primeras imágenes de Joaquin Phoenix como Napoleón Bonaparte, personaje al que interpretará en la película dirigida por Ridley Scott. Luego de 22 años, el director y el actor de Gladiador volverán a trabajar juntos. ",Cultura
Peaky Blinders 6: ¿cuándo se podrá ver en Netflix?,Se estrenó primero en BBC para el Reino Unido,"Peaky Blinders, una de las series más éxitosas de los últimos tiempos, llega a su fin. La sexta y última temporada de la vida de los mafiosos de Birmingham es de lo más esperado del año. ",Cultura
Qué pasó entre Residente y J Balvin y qué significan las referencias en su tema con Bizarrap,BZRP Music Sessions #49,"Este jueves por la noche se publicó en YouTube la Music Sessions 49 de Bizarrap, el joven productor argentino del género urbano que ha provocado una verdadera revolución. En esta oportunidad, el cantante es nada más y nada menos que Residente, el exlíder de Calle 13. ",Cultura
La fantasía de Atenea en la tríada presidenciable,De arte no entiendo nada,"En la magia del poder los cargos son menores. Esta verdad descoloca al pensador con sueldo fijo que, dudando con soberbia, compara un quirófano improvisado en un barrio marginal con la unidad entre mitología griega y la mística del armado político.",Cultura
"El horror de Colonia Dignidad, la secta de un abusador que apoyó a Pinochet","La historia del alemán Paul Schäfer, un nazi convertido en pastor","El 10 de marzo de 2005, un operativo de la Policía Federal Argentina derivó en el arresto de un anciano alemán en una estancia de Chivilcoy. Hacía varios días que llamaba la atención la presencia, en esa ciudad bonaerense, de dos hombres de mediana edad que hablaban con marcado acento alemán. Una investigación periodística constató se trataba de Peter Schmidt y Friedhelm Zeitner, quienes habían dejado Chile en 1997 junto a un anciano al que buscaba la justicia trasandina desde ese año. Los efectivos ingresaron a la estancia La Solita y hallaron a Paul Schäfer, de 84 años. Sobre él pesaba una orden de captura por abuso de menores. Y la sombra de haber participado de manera activa en el golpe militar de 1973 e integrado el aparato represivo de la dictadura. El nombre de Schäfer estaba vinculado a un lugar ubicado en los bellísimos bosques al otro lado de Mendoza, pero cuyo nombre es sinónimo de horror: Colonia Dignidad.",Cultura
Murió el artista plástico Antonio Seguí,Tenía 88 años,"El artista plástico Antonio Seguí falleció este sábado en Buenos Aires a los 88 años, tras no poder superar una operación de cadera. Había nacido en Córdoba en 1934 y se instaló en París en los años '60. Para noviembre de este año tenía prevista una muestra en el Centro de Arte Contemporáneo (CAC) de su ciudad natal.",Cultura
La Municipalidad de Ushuaia convoca a artistas al 3er Encuentro Internacional de Muralistas del Fin del Mundo ,Por el 40° Aniversario de la Gesta de Malvinas ,"La Municipalidad de Ushuaia a través de la Secretaría de Cultura y Educación convoca a artistas plásticos y muralistas de todo el país al 3er encuentro Internacional de Muralistas del Fin del Mundo “EMUSH 2022” que se llevará a cabo del 19 al 26 de marzo en la ciudad de Ushuaia, bajo la temática del “40° Aniversario de la Gesta de Malvinas”",Cultura
La constelación de Astroboy en Puente la Noria,De arte no entiendo nada,"En plena psicodelia, a fines de los años sesenta, un buen plan para la familia trabajadora, en su descanso del domingo, era ostentar las concurridas piletas de La Salada. El icónico anuncio de la cercanía lo indicaba el gran Puente la Noria que, anticipando el despertar del sur, cruza el Riachuelo siendo la envidia del Arco del Triunfo porque resplandece con él. Es la marca indeleble de la frontera tripartita, entre Capital Federal, zona oeste y el sur bonaerense. ",Cultura
"Roy Cohn, un fanático anticomunista que acompañó a Joseph McCarthy y fue abogado de Donald Trump",La historia del responsable de enviar a la silla eléctrica a un matrimonio por espionaje,"Si se mira material de archivo de las audiencias del cruzado anticomunista Joseph McCarthy durante la caza de brujas se aprecia que, junto al senador por Wisconsin, suele aparecer un joven de pelo negro, corto, y gesto adusto. ",Cultura
Duchamp con la papa en la boca en el Mercado Central,De arte no entiendo nada,"La sierra sin fin en la fábrica recuperada corta una crisis porque aquello que subestimamos en el presente puede ser un problema futuro. En el mismo sentido, se dice en el ámbito de la cosecha, que todo crece más fuerte cuando se lo talla. El riesgo de encontrar la solución simple a un campo complejo puede llevar la conflictividad al máximo. Por esa razón “etiquetar” es un verbo peligroso para poder resolver el enigma de la naturaleza.",Cultura
"La historia detrás del nacimiento de ""Frankenstein""",Una apuesta para escribir relatos de terror dio origen al célebre monstruo,"El relato del nacimiento literario de Frankenstein habla de una reunión de tres escritores en Suiza. La fecha: 16 de junio de 1816. Se sumó una cuarta persona y allí surgió una apuesta acerca de la creación de un relato terrorífico. No se suele mencionar que los reunidos eran cinco (la quinta persona fue, probablemente, el motivo del encuentro) y que además del moderno Prometeo (como lo subtituló Mary Shelley) también surgiría el primer relato vampírico. Se estila pensar también en un clima de tormenta, propicio para el encierro; una noche relampagueante más que ideal para que surgiera esa apuesta. Llovía en aquel verano de 1816 y no era ninguna casualidad.",Cultura
Sergio Galleguillo: “Es un orgullo ser riojano y llevar la Chaya por todo el país” ,Se presentó en el festival La Rioja Chaya 2022,"Minutos después de las 00 del lunes, el escenario mayor de La Rioja Chaya 2022 recibió al embajador cultural de los riojanos, y uno de los artistas más convocantes del cancionero popular argentino, Sergio Galleguillo, quien con su carisma y su repertorio, fue la ovación de la cuarta noche festivalera.",Cultura
"""La dolce vita"", García Márquez y la misteriosa muerte de una joven que sacudió a la Italia de los años '50 ","Un caso en el que se cruzaron aristócratas, políticos y estrellas de cine","1960. Federico Fellini estrena La dolce vita y renueva al cine italiano. La película es un éxito y gana el Festival de Cannes. Además, provoca un escándalo por su retrato de la aristocracia romana de los años '50. El director dirá más tarde que nunca se le perdonó la escena de la orgía de los ricos en un castillo. Sobre el final, en una playa, el personaje de Marcello Mastroianni ve cómo un grupo de jóvenes arrastra un extraño molusco, de enormes proporciones, al que todos se quedan mirando en la arena. Para los espectadores del resto del mundo no dice mucho, pero en Italia nadie duda de que Fellini hace alusión al hecho que concitó la atención de todo el país siete años antes.",Cultura
"Murió Angélica Gorodischer, emblema de la literatura de ciencia ficción","La autora de ""Trafalgar"" tenía 93 años ","La literatura argentina perdió este sábado a una de sus voces más singulares. Angélica Gorodischer murió en su casa de Rosario a los 93 años, por causas naturales. Autora de libros como Trafalgar y Kalpa Imperial, y militante feminista, su obra queda como una marca en la ciencia ficción en castellano. A tal punto, que un ícono de la literatura fantasy y sci-fi, como Ursula K. Le Guin, tradujo Kalpa Imperial al inglés.",Cultura
Vuelve Escenario a Cielo Abierto en Morón,Un ciclo de shows gratuitos impulsados por el municipio,"Los fines de semana del mes de febrero, los vecinos y vecinas de Morón podrán disfrutar de Escenario a Cielo Abierto, un ciclo de shows gratuito, de música y danza en vivo que contará con la presentación de artistas como Valeria Lynch, Acru, Bersuit y Teresa Parodi, entre otros.",Cultura
Proserpina en el camino de cintura,La épica de vivir el mito en lo contemporáneo,"Hay algo en común entre la Galleria Borghese de Roma y la masa muscular del conurbano caliente, como una especie de romance entre el centro y la periferia. Y es el capolavoro, “El rapto de Proserpina” de Gian Lorenzo Bernini que marca en el asfalto las venas del mármol de carrara. Venas que están marcadas con alquitrán que en la época estival es sangre. Sangre de la mitología gaucha en las batallas con los dioses del riachuelo.",Cultura
El Graf Spee y la Batalla del Río de la Plata: un combate de la Segunda Guerra frente a la costa uruguaya,El acorazado alemán enfrentó a tres barcos ingleses solo y terminó hundido,"El 8 de diciembre de 1914, la escuadra alemana que el 1 º de noviembre había derrotado a cuatro barcos ingleses frente a la costa de Chile se midió otra vez a los británicos. Fue en el Atlántico Sur, en las costas de un enclave colonial inglés: las islas Malvinas. Los cruceros acorazados Scharnhorst y Gneisenau, acompañados por los cruceros ligeros Dresden, Leipzig y Núremberg, se enfrentaron a ocho buques de guerra. La superioridad se notó. Solamente el Dresden pudo escapar. Los alemanes perdieron más de 1800 hombres, contra apenas diez bajas de los ingleses. Una familia de la nobleza alemana recibió la noticia de la muerte de tres de sus integrantes, el padre, que comandaba la flota, y dos hijos. El comandante pereció a bordo del Scharnhorst. Los hijos murieron en los hundimientos del Gneisenau y el Núremberg. Un cuarto de siglo más tarde, al comenzar otra guerra mundial, un barco alemán protagonizaría un combate en el estuario del Río de la Plata. Iba a ser el primer combate naval de la Segunda Guerra y el único de la contienda en el Atlántico Sur. El barco honraba en su nombre al conde que lideró la flota en la batalla de las Malvinas: Maximilian von Spee.",Cultura
Alessandro Baricco anunció que padece leucemia,El autor italiano recibirá un transplante de médula de su hermana,"A través de una publicación en Instagram, el escritor italiano Alessandro Baricco anunció que está en tratamiento por leucemia. ""Hace cinco meses me diagnosticaron leucemia mielomonocítica crónica"", contó en su publicación uno de los autores más aclamados de la literatura europea de las últimas décadas.",Cultura
"Elza Soares, ""La voz del milenio""",La despedida del expresidente Lula y de sus colegas,"La cantante brasileña Elza Soares, figura de la bossa nova, el samba y la música popular, falleció este jueves a los 91 años en su casa de Río de Janeiro “por causas naturales” según informó su oficina de prensa.Soares, considerada “La voz del milenio” en su país, también fue compositora. Tuvo una tormentosa relación de 15 años con el futbolista Garrincha, quien también falleció un 20 de enero, pero de 1983.Aquel matrimonio fue apenas uno de los escollos que la artista superó a lo largo de su extensa y dificultosa existencia. “Nos amamos mucho. Fue el gran amor de mi vida. Enfrentamos a una sociedad machista en nombre de nuestro amor y lo haría todo otra vez”, declaró en su momento.",Cultura
"""Los últimos de Filipinas"": la despedida que hizo que soldados españoles depusieran la defensa de un imperio que ya no existía",La curiosa historia del sitio de Baler,"Un día de 1897, dos oficiales españoles apostados en las Filipinas se despidieron. Uno de ellos embarcaba a otra colonia: la isla de Cuba. Al despedirse, le comentó a su compañero de armas el deseo de poder ser trasladado en un futuro no muy lejano a Málaga, donde lo aguardaba su novia y el resto de la familia. Ese simple comentario al paso iba a ser el elemento que acabaría con el drama de un puñado de hombres que se atrincheró durante casi un año dentro de una iglesia, en el medio de la selva.",Cultura
El Lollapalooza 2022 se verá por TV,Emitirán shows y entrevistas,"La séptima edición del festival Lollapalooza Argentina, que se realizará el viernes 18, sábado 19 y domingo 20 de marzo en el Hipódromo de San Isidro, se podrá ver en vivo a través de cuatro canales de Flow, que transmitirá los shows completos de bandas y solistas como Foo Fighters, The Strokes, Miley Cyrus y A$AP Rocky, entre más de 100 propuestas internacionales e nacionales.La transmisión se hará desde el inicio hasta el cierre e incluirá entrevistas a los grupos y notas de color con la experiencia del encuentro musical, que se podrán ver desde cualquier lugar del país y a través de cualquier dispositivo.Producido por Perry Farrell, William Morris Endeavor (WME), C3 Presents y DF Entertainment, Lollapalooza Argentina integra la música con diferentes expresiones artísticas - diseño, la gastronomía y las nuevas tendencias artísticas- convoca a unas 300.000 personas.",Cultura
"Murió Elsa María, la emblemática bailarina y coreógrafa de tango",Tenía 77 años,"La bailarina y coreógrafa de tango conocida como Elsa María, quien junto a su marido Héctor Mayoral conformó una de las parejas de baile más emblemáticas, murió a los 77 años por consecuencias de un accidente cerebrovascular. Su deceso fue comunicado por su familia en redes sociales.",Cultura
"Murió Peter Bogdanovich, el director de ""La última película""",Tenía 82 años,"El director de cine Peter Bogdanovich, uno de los protagonistas de la camada de cineastas que renovó Hollywood en los 70, falleció este jueves a los 82 años. Su hija, Antonia Bogdanovich, declaró que murió poco después de la medianoche por causas naturales en su casa de Los Ángeles.",Cultura
El público volvió al Concierto de Año Nuevo en Viena,Daniel Barenboim dirigió en una sala con mitad de aforo: en 2021 había sido a puerta cerrada,"Daniel Barenboim dirigió este sábado el tradicional concierto de Año Nuevo que cada 1º de enero se realiza en Viena, en una gala dedicada a los valses de la familia Strauss. El director argentino-israelí condujo a la Filarmónica de Viena por tercera vez en esta tradicional cita (las dos veces anteriores fueron en 2009 y 2014), en una sala con la mitad de aforo, por la pandemia.",Cultura
"Ariel Dávila presentó su nuevo disco: “Los días del evangelista""",Masterizado por una leyenda de la música popular argentina,"“Los días del evangelista” es el tercer disco del mendocino Ariel Dávila, cantautor de larga trayectoria artística, que incluye experiencias como poeta, actor, fotógrafo, performer, productor y, claro, como músico, ya que lideró bandas como Vincha & Muchísima Elegancia, con la que grabó dos discos, o como Los Hijos de Neruda, su primera aventura, casi adolescente y por entonces dentro del universo urgente del punk-rock. ",Cultura
"""No miren arriba"" de Netflix: Aprender de los yanquis",Otra lectura sobre lo que muestra el cine,"No es la primera. Enseguida me vino a la mente aquella de Peter Sellers, Doctor Insólito, pero ésta tiene un alcance difícil de equiparar. Es cierto que muchas películas denuncian injusticias, desigualdades sociales, tengamos presente hace poco, Parásitos, por ejemplo. Pero ésta, y me estoy refiriendo a “No miren arriba”, combina elementos de un modo más que novedoso. Muchas veces, este tipo de films llegan a los que ya estamos convencidos, tienen el modo casi de una tesis sociológica y no buscan incorporar a los ajenos a nuestros discursos un tanto cerrados. En cambio, esta se presenta como una farsa con gags, personajes rocambolescos y algunos fácilmente identificables por el gran público norteamericano.",Cultura
Navidad: 5 películas para ver en estos días,Las fiestas de fin de año frente a la pantalla,"Como todos los años para las fiestas, las plataformas de streaming y la programación de TV se inundan de películas inspiradas en la Navidad. Desde films tradicionales para volver a ver hasta nuevas producciones, aquí algunas de las opciones para este fin de semana navideño.",Cultura
"La Muestra Anual de Fotoperiodismo Argentino, con el foco en la pandemia",La apertura es este martes en La Plata,"Son varios los motivos que hacen especial a esta edición (la número 32) de la Muestra Anual de Fotoperiodismo Argentino. Vuelve a la presencialidad, luego de una edición virtual, la del año pasado. En primer plano en el recorrido narrativo aparece la pandemia, y por supuesto que esto es una novedad. Además, la exposición ocurre a 40 años de la inauguración de este acontecimiento cultural, el más relevante en su tipo en la Argentina. ",Cultura
"Lanzaron el video de ""My Sweet Lord"" de George Harrison, con más de 40 celebridades","Fue la canción enblemática del guitarrista de los Beatles, aparecidaen 1970","Algo más de medio siglo después del lanzamiento de All Things Must Pass, primer disco solista de George Harrison, el trabajo lanzado en 1970 tuvo una reedición especial que contó con una sorpresa: un video de la canción más famosa del álbum, ""My Sweet Lord"".",Cultura
Repercusiones en diversos ámbitos de la muerte de José Pablo Feinmann,"""Fue un filósofo y un escritor imprescindible""",Por Laura Gómez y María Daniela Yaccar,Cultura
"Murió Vicente Feliú, uno de los grandes de la música cubana",El cantautor tenía 74 años y sufrió un infarto antes de salir a tocar,"Vicente Feliú, uno de los más destacados músicos de Cuba, falleció este viernes a causa de un infarto en La Habana. Tenía 74 años. La muerte  lo sorprendió instantes antes de un concierto en el Museo de la Música.",Cultura
El adiós a José Pablo Feinmann en las redes ,"Dirigentes políticos, artistas e intelectuales despidieron al filósofo","La muerte de José Pablo Feinmann generó una ola de dedicatorias, reconocimientos y saludos en las redes sociales por parte de dirigentes políticos, sindicales y del mundo de la cultura. ""Sus libros contribuyeron con lo mejor del pensamiento argentino"", le dedicaron desde la Unión Argentina de Escritoras y Escritores, mientras que el ministro de Ciencia y Tecnología y ex ministro de Educación, Daniel Filmus, le dedicó: ""Lúcido y comprometido referente de la cultura nacional, filósofo e historiador. Nos deja su invalorable obra y pensamiento"". También Abuelas de Plaza de Mayo hizo referencia a esta pérdida vía Twitter: ""Despedimos con tristeza a José Pablo Feinmann, filósofo y escritor, siempre del lado de las causas justas"".",Cultura
"De Feinmann a Horacio González: ""Esperame. No voy a demorar""","La despedida del filósofo al exdirector de la Biblioteca Nacional, hace seis meses, en PáginaI12 ","El 22 de junio de este año, la Argentina perdió a uno de sus mayores intelectuales: Horacio González. Horas más tarde, en medio del dolor por la pérdida de su amigo, José Pablo Feinmann lo despidía así:  ""Esperame. No voy a demorar"": ",Cultura
La ópera innombrable y maldita de Verdi que Pavarotti nunca quiso interpretar,"La trama de desgracias que cimentó la leyenda en torno a ""La fuerza del destino""","El barítono estadounidense Leonard Warren subió a escena en el Metropolitan de Nueva York el 4 de marzo de 1960 para cantar su rol de villano en una ópera de Giuseppe Verdi. En la segunda escena del tercer acto, Warren cantó un aria y quedó quieto unos segundos. Se desplomó sobre el escenario, algo que no estaba indicado en la obra. La función se detuvo y no hubo manera de reanimarlo. Tenía 48 años y acababa de sufrir una fulminante hemorragia cerebral. El aria que había cantado en sus últimos instantes de vida era “Morir! Tremenda cosa!” de la ópera La fuerza del destino. Casi un siglo después de su estreno, se había consumado la peor tragedia en derredor de una obra considerada maldita.",Cultura
Se vende una obra de Banksy en 10 mil piezas digitales,"""Love is in the Air"", una de las pinturas más famosas del artista ","La obra del graffitero anónimo Banksy Love is in the Air, que muestra a un joven manifestante con su rostro tapado a punto de lanzar flores, fue transformada por sus actuales dueños en 10 mil piezas digitales, convertidas en NFT (token o vale no fungible, no intercambiable), y saldrán a la venta, por separado, el próximo 10 de enero, en la plataforma Avalanche de blockchain.",Cultura
Un libro de cuentos para las infancias con metáforas políticas para los más grandes ,“Cuentos para todos y todas”,"“Cuentos para todos y todas” es el título del nuevo libro, del cual aquí se presenta un adelanto exclusivo. ",Cultura
Intelectuales rechazan la llegada de Vargas Llosa a la Academia Francesa por su militancia neoliberal,"Critican su apoyo a Kast, Duque y Keiko Fujimori","La llegada de Mario Vargas Llosa a la Academia Francesa despertó el rechazo de buena parte de la intelectualidad de ese país. Así quedó de manifiesto este jueves con una solicitada publicada en el diario Libération, en el que muestran su ""estupefación"" ante una ""decisión"" que ""presenta graves problemas éticos"".",Cultura
"Monsieur Vidocq, el curioso delincuente que se convirtió en el primer detective privado",Fue clave en el desarrollo de la criminalística e inspiró a escritores como Víctor Hugo y Poe,"En la Francia de la primera mitad del siglo XIX, Eugène-François Vidocq redefinió el rol del investigador que busca resolver un crimen. Su historia fue peculiar, no solamente porque sentó las bases de la criminalística moderna, sino porque además pasó la primera mitad de su vida como un delincuente. Por si fuera poco, sus andanzas inspiraron a varios escritores de su tiempo. En Francia, sería el modelo de Balzac, Hugo y Dumas. Y, al otro lado del Atlántico, Poe crearía el relato policial en base al convicto que se convirtió en agente de la ley.",Cultura
Gustavo Santaolalla volvió a su barrio y recorrió la Ruta del Rock de Tres de Febrero ,El músico está de gira en el país,"Las calles de Ciudad Jardín inspiraron a Gustavo Santaolalla y lo acompañaron a lo largo de su exitosa carrera artística. El verde, los árboles y el sonido de los pájaros están presentes en sus canciones como una marca distintiva. Es algo que está ahí desde Mañana Campestre, primer éxito de Arco Iris, que parece una fiel pintura del barrio, de su cuadra y de la Ciudad Jardín de principios de los sesenta y que aun intenta conservarse. ",Cultura
Las quintillizas Dionne: el caso de explotación infantil que conmovió a Canadá,Las convirtieron en una máquina de facturar dinero y en una atracción turística,"La noche del 28 de mayo de 1934, el doctor Allan Roy Dafoe llegó a la casa de de Oliva y Elzire Dionne en las afueras de Callander, en la provincia canadiense de Ontario. La pareja de granjeros tenía cinco hijos y esperaba un sexto. Elzire, de 25 años, suponía que podía tratarse de mellizos. Le faltaban aun dos meses de gestación cuando el parto se adelantó y tuvieron que llamar a Dafoe. ",Cultura
Kevin Spacey deberá pagar USD 31 millones a la productora de la serie House Of Cards ,El actor fue despedido tras acusaciones de abuso sexual y mala conducta,"El actor Kevin Spacey fue despedido de su papel protagónico en el éxito de Netflix House of Cards en 2017 en medio de acusaciones de abuso sexual y mala conducta. A partir de entonces, comenzó un litigio judicial con los productores por “incumplimiento de contrato”, que culminó recientemente cuando un árbitro de justicia de los Estados Unidos dictaminó que el actor violó su contrato con la productora del programa MRC, por lo que deberá pagar una suma de USD 31 millones de dólares.",Cultura
La línea 70 homanejeó a León Gieco en su cumpleaños,Grabaron videos y las unidades circulan con un sticker alusivo,"Los trabajadores de la línea 70 de colectivos homenajearon este sábado a León Gieco. Dado que el número que identifica a la línea que une Valeín Alsina con Retiro es el de la edad a la que acaba de llegar el músico, se prestaba algún tipo de saludo y los trabajadores no dejaron de lado la fecha.",Cultura
"""Canción para León"", el regalo del ECuNHi por los 70 años de Gieco ",El músico celebra siete décadas de vida este sábado ,"El Espacio Cultural Nuestross Hijos (ECuNHi), que depende de la Asociación Madres de Plaza de Mayo, homenajeó a León Gieco a través de un video musical. ""Canción para León"" es el tema que compartió en las redes con motivo de los 70 años de vida que el artista santafecino cumple este sábado.",Cultura
Llegan las Full Sessions de la mano de YPF ServiClub,Las mejores bandas van a tocar en las YPF Full de varias estaciones de servicio ,"En el marco de la Plataforma Música de la marca, YPF ServiClub lanza una serie de conciertos, producidos por Pop Art Music, en diferentes lugares de Argentina. Un encuentro íntimo y único en diferentes estaciones de servicio de siete regiones del país. ",Cultura
Subastaron en Francia una copia de La Gioconda por más de 300 mil dólares,Fue pintada cien años después del célebre retrato de Da Vinci,"Una copia de La Gioconda, una de las mejores que se conocen y que se atribuye a un artista de la escuela francesa de comienzos del siglo XVII, fue vendida  este martes en París por 273 mil euros (316.383 dólares). ",Cultura
Murió el actor Dean Stockwell,Tenía 85 años,"El actor estadounidense Dean Stockwell falleció a los 85 años en su hogar por causas naturales. El deceso se produjo el domingo pasado, y su muerte fue confirmada en las últimas horas por su familia. ",Cultura
Se publican dibujos inéditos de Franz Kafka,Estuvieron ocultos en una caja fuerte durante 63 años,"Más de un centenar de dibujos inéditos de Franz Kafka (1883-1924), realizados cuando el escritor checo era un joven estudiante universitario, sumados a otros ya editados, se publicarán la semana próxima, luego de permanecer 63 años en una caja fuerte. Los dibujos fueron salvados de la destrucción por decisión de su amigo y albacea, el  también escritor Max Brod, quien desobedeció la orden del autor de La metamorfosis de que fueran quemados una vez muerto, al igual que sus manuscritos.A los 41 dibujos editados en 2002 y 2011, se suman ahora otros 122, que un grupo de siete editoriales de diversos países publican por primera vez. ",Cultura
"Chappelle dijo que solo hablará con quienes ""hayan visto el especial hasta el final"" ","Manifestación de empleades de Netlix contra ""The Closer""","El comediante Dave Chappelle publicó un video en sus redes sociales sobre la protesta que empleades de Netflix realizaron en Los Angeles contra su especial ""The Closer"", al que acusaron de incluir contenido transfóbico. ",Cultura
Claude Cahun: la fotógrafa surrealista que sobrevivió al nazismo,Era el seudónimo de la sobrina de Marcel Schwob y su pareja,"Qué chambones nos parecen hoy los surrealistas, pero a la vez qué manera de liberar las cosas, de generar afluentes que se abren en las más insólitas direcciones. Más de la mitad de la gente que me interesa del siglo veinte tiene en su ADN algo de surrealista. El último caso que se descubrió es el de Claude Cahun. Claude Cahun era, a pesar de su nombre masculino, una mujer, o más bien dos mujeres: Lucia Schwob y Suzanne Malherbe, que era su hermanastra y se convirtió también en su amante a los catorce años, cuando los padres las mandaron a hacer el liceo en Nantes. Nunca más se separaron: juntas llegaron a París en 1917, juntas se sumergieron en la bohemia loca de aquellos años y juntas se fueron a la isla de Jersey en 1937, cuando sintieron que ya no podían seguir haciendo lo suyo en París. Lo suyo era la extraordinaria serie de autorretratos que empezaron en secreto a principios de los años ’20 y cuya toma final hicieron el mismo día en que los nazis las liberaron, en mayo de 1945. Habían sido condenadas a muerte, pero como ambas trataron de suicidarse en sus celdas, las pusieron en camas vecinas y bajo custodia en la única salita de hospital que había en la isla de Jersey, con el propósito de fusilarlas en cuanto se recuperaran, pero entonces vino el desembarco aliado en Normandía y la huida de los nazis.",Cultura
"El Presidente, sobre Charly García: ""Ha musicalizado la vida mía y la de una generación""",Saludó al músico por sus 70 años a través de un video ,"El presidente Alberto Fernández saludó a Charly García por sus 70 años. Lo hizo a través de un video que subió a Twitter el Ministerio de Cultura. El jefe de Estado aparece en su oficina en la residencia de Olivos, rodeado por LPs de distintas épocas de García, a quien definió como ""uno de esos músicos que ha musicalizado la vida mía y la de una generación"".",Cultura
"""La puerta del cielo"", el desastre que terminó con los dorados años 70 de Hollywood",La película de Michael Cimino llevó al fin de United Artists,"“Los locos se hicieron cargo del manicomio”. La frase graficó el hecho de que cuatro talentos de Hollywood fundaran en 1919 su propio estudio en la Meca del cine. Charles Chaplin, Douglas Fairbanks, Mary Pickford y David Griffith crearon United Artists, que se codeó con estudios como Warner, Paramount y Universal. Cuando llegaron los 70, UA se sumó a la gran era del cine estadounidense con títulos como Atrapado sin salida, Rocky y Annie Hall. Además, tenía a su cargo la saga de películas de James Bond. Sin embargo, un estrepitoso fracaso puso fin a ese momento en el que los directores tenían un poder casi absoluto. Un desastre que derivó en el fin del estudio. La película se llamó La puerta del cielo y acabó además con la carrera de su director, que venía de ganar el Oscar.",Cultura
Dalton Trumbo y la dignidad de Robert Rich: la trama de persecución ideológica que sacudió a Hollywood,"Blanco del macartismo, el guionista no pudo trabajar con su nombre durante más de una década","Octubre de 1960. Se estrena Espartaco, la película protagonizada y producida por Kirk Douglas sobre la revuelta de los esclavos contra Roma. Es una superproducción dirigida por Stanley Kubrick y con un elenco de lujo que incluye a Laurence Olivier, Tony Curtis y Charles Laughton; y está basada en la novela de Howard Fast (en la que aparece la frase “Volveré y seré millones”). En los créditos se lee el nombre del guionista. Para algunos pasa desapercibido, para otros, no. Hace más de diez años que ese nombre no se ve en pantalla. El plano con el nombre de Dalton Trumbo es la imagen que termina con la lista negra en Hollywood.",Cultura
"José Luis Perales se despide de Argentina en Córdoba, Rosario y CABA",Tras 50 años de carrera deja los recitales en vivo,José Luis Perales se despide de los escenarios tras cincuenta años de carrera y uno de los lugares que eligió para hacerlo es la Argentina. En el marco de la gira en que le dirá adiós al público el cantautor español actuará en el país en marzo.,Cultura
Los falsos diarios de Hitler: el mayor fraude de la historia del periodismo,"La revista alemana ""Stern"" quedó en ridículo por una falsificación ","Una noticia sacudió al mundo en abril de 1983. La revista alemana Stern anunció que tenía los diarios personales de Adolf Hitler, escritos de su puño y letra y que abarcaban el período comprendido entre 1932 y 1945; esto es, entre la inminencia de su llegada al poder y su muerte en el búnker de la Cancillería, con Berlín asediada por las tropas soviéticas. Hasta entonces, ningún biógrafo del Führer había anotado nada acerca de diarios personales, menos todavía durante los años de su dictadura y la guerra que desencadenó.",Cultura
